N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.37753,0.0503365185526
100,4,1,2,0.399532,0.0391286209315
100,4,1,3,0.395164,0.0268681429206
100,4,2,1,0.424962,0.0373605213561
100,4,3,1,0.45707,0.0390283627635
100,4,2,2,0.422364,0.033054734971
100,4,3,3,0.441418,0.0248359271218
100,8,1,1,0.377964,0.030439229688
100,8,1,2,0.385652,0.0266241036657
100,8,1,3,0.391564,0.0260391609696
100,8,2,1,0.423916,0.0312735822061
100,8,3,1,0.446122,0.0456470712752
100,8,2,2,0.423918,0.0357459826554
100,8,3,3,0.441668,0.0305535885945
398,8,1,1,0.598576,0.0799694455652
398,8,1,2,0.869732,0.0600441518884
398,8,1,3,0.89461,0.056559260073
398,8,2,1,0.9431,0.0522609797076
398,8,3,1,0.96005,0.0881086800491
398,8,2,2,0.690926,0.0411316000661
398,8,3,3,0.797448,0.0228519429371
