N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,1.386214,0.215637650247
100,4,1,2,1.016014,0.518179051877
100,4,1,3,0.563264,0.144051804237
100,4,2,1,0.7332,0.0667174939577
100,4,3,1,0.77011,0.115073376156
100,4,2,2,1.115006,0.348721846124
100,4,3,3,1.342432,0.162270445171
100,8,1,1,1.45104,0.164162012658
100,8,1,2,1.418746,0.117100288147
100,8,1,3,0.626834,0.379571703956
100,8,2,1,0.400612,0.0474037704829
100,8,3,1,0.650896,0.471087649152
100,8,2,2,1.28703,0.132557840583
100,8,3,3,1.306086,0.131861558477
398,8,1,1,2.494568,0.158443748302
398,8,1,2,2.49922,0.103905840067
398,8,1,3,2.659044,0.867703381383
398,8,2,1,0.489368,0.0612228435798
398,8,3,1,0.619868,0.0546145637719
398,8,2,2,0.479994,0.0647322945986
398,8,3,3,0.522028,0.09855290567
